2026-05-16T20:58:20 [INFO    ] PopQA_v13: ╔══════════════════════════════════════════════════════╗
2026-05-16T20:58:20 [INFO    ] PopQA_v13: ║  Training-Free Semantic Routing — PopQA v13          ║
2026-05-16T20:58:20 [INFO    ] PopQA_v13: ║  2 PRE × 4 POST = 8 runs (Query Exp. + Caching)      ║
2026-05-16T20:58:20 [INFO    ] PopQA_v13: ╚══════════════════════════════════════════════════════╝
2026-05-16T20:58:20 [WARNING ] PopQA_v13: The JSON file contains 1273 queries, fewer than the 1500 requested in CONFIG. Proceeding with all available queries.
2026-05-16T20:58:20 [INFO    ] PopQA_v13: Queries loaded for ablation: 1273
2026-05-16T20:58:20 [INFO    ] PopQA_v13: [FAISS] Loading: c:\Users\Utente\Desktop\Progetto_Routing_RAG\db_indexes\popqa_expanded.faiss
2026-05-16T20:58:24 [INFO    ] PopQA_v13: [FAISS] 1527 vectors, dim=384
2026-05-16T20:58:24 [INFO    ] PopQA_v13: [LLM] Loading (logits_all=True, gpu_layers=26)...
2026-05-16T20:58:29 [INFO    ] PopQA_v13: [LLM] Ready.
2026-05-16T20:58:29 [INFO    ] PopQA_v13: Router v13: 2 PRE × 4 POST = 8 total runs
2026-05-16T20:58:29 [INFO    ] PopQA_v13: ╔══════════════════════════════════════════════════════╗
2026-05-16T20:58:29 [INFO    ] PopQA_v13: ║  PopQA Ablation v13:  8 run × 1273 query = 10184 total ║
2026-05-16T20:58:29 [INFO    ] PopQA_v13: ╚══════════════════════════════════════════════════════╝
2026-05-16T20:58:29 [INFO    ] PopQA_v13: ────────────────────────────────────────────────────────────
2026-05-16T20:58:29 [INFO    ] PopQA_v13:   RUN  1/8: Always_Retrieve × Always_FAISS
2026-05-16T20:58:29 [INFO    ] PopQA_v13: ────────────────────────────────────────────────────────────
2026-05-16T20:58:29 [INFO    ] PopQA_v13:   [   1/10184 |  0.0%] [low|pop=     44] What is the religion of Angelo Maria Rivato?
2026-05-16T20:58:37 [INFO    ] PopQA_v13:   [   2/10184 |  0.0%] [hig|pop=   1149] Who was the screenwriter for Love?
2026-05-16T20:58:41 [INFO    ] PopQA_v13:   [   3/10184 |  0.0%] [hig|pop=  26562] What is the capital of Lodhi dynasty?
2026-05-16T20:58:48 [INFO    ] PopQA_v13:   [   4/10184 |  0.0%] [hig|pop=   5308] Who is the author of In Our Time?
2026-05-16T20:58:54 [INFO    ] PopQA_v13:   [   5/10184 |  0.0%] [med|pop=    293] In what city was John of Garland born?
2026-05-16T20:59:01 [INFO    ] PopQA_v13:   [   6/10184 |  0.1%] [hig|pop=  17011] Who was the producer of The Car?
2026-05-16T20:59:09 [INFO    ] PopQA_v13:   [   7/10184 |  0.1%] [low|pop=     57] In what country is Saint-Antonin?
2026-05-16T20:59:18 [INFO    ] PopQA_v13:   [   8/10184 |  0.1%] [med|pop=    105] Who is the author of Love's Welcome at Bolsover?
2026-05-16T20:59:24 [INFO    ] PopQA_v13:   [   9/10184 |  0.1%] [low|pop=     63] What is Guillem Ramon de Gironella's occupation?
2026-05-16T20:59:29 [INFO    ] PopQA_v13:   [  10/10184 |  0.1%] [hig|pop=   1911] Who was the producer of Thrillington?
2026-05-16T20:59:36 [INFO    ] PopQA_v13:   [  11/10184 |  0.1%] [low|pop=     92] What sport does Sava Paunović play?
2026-05-16T20:59:40 [INFO    ] PopQA_v13:   [  12/10184 |  0.1%] [hig|pop=   4134] Who was the screenwriter for Pilot?
2026-05-16T20:59:45 [INFO    ] PopQA_v13:   [  13/10184 |  0.1%] [hig|pop=  16893] What is the religion of Swedes?
2026-05-16T20:59:57 [INFO    ] PopQA_v13:   [  14/10184 |  0.1%] [hig|pop=  56453] Who was the director of Room?
2026-05-16T21:00:03 [INFO    ] PopQA_v13:   [  15/10184 |  0.1%] [med|pop=    630] Who is the mother of Archduchess Maria Elisabeth of Aus
2026-05-16T21:00:12 [INFO    ] PopQA_v13:   [  16/10184 |  0.2%] [med|pop=    255] Who was the screenwriter for The Letter?
2026-05-16T21:00:16 [INFO    ] PopQA_v13:   [  17/10184 |  0.2%] [low|pop=     52] What is the capital of Gmina Andrespol?
2026-05-16T21:00:23 [INFO    ] PopQA_v13:   [  18/10184 |  0.2%] [low|pop=     52] Who is the author of Afternoon?
2026-05-16T21:00:27 [INFO    ] PopQA_v13:   [  19/10184 |  0.2%] [low|pop=     14] In what country is Tartaczek?
2026-05-16T21:00:34 [INFO    ] PopQA_v13:   [  20/10184 |  0.2%] [hig|pop=  20210] Who was the producer of Discovery?
2026-05-16T21:00:39 [INFO    ] PopQA_v13:   [  21/10184 |  0.2%] [hig|pop=   6997] Who was the screenwriter for War and Peace?
2026-05-16T21:00:46 [INFO    ] PopQA_v13:   [  22/10184 |  0.2%] [med|pop=    519] Who was the screenwriter for Oil?
2026-05-16T21:00:51 [INFO    ] PopQA_v13:   [  23/10184 |  0.2%] [med|pop=    265] Who was the composer of Patience?
2026-05-16T21:00:57 [INFO    ] PopQA_v13:   [  24/10184 |  0.2%] [low|pop=     31] In what country is Dubicze Osoczne?
2026-05-16T21:01:03 [INFO    ] PopQA_v13:   [  25/10184 |  0.2%] [hig|pop=   4373] What genre is The Lady?
2026-05-16T21:01:13 [INFO    ] PopQA_v13:   [  26/10184 |  0.3%] [hig|pop=   1337] Who is the author of Brand?
2026-05-16T21:01:15 [INFO    ] PopQA_v13:   [  27/10184 |  0.3%] [med|pop=    139] In what city was Pierre Charette born?
2026-05-16T21:01:21 [INFO    ] PopQA_v13:   [  28/10184 |  0.3%] [hig|pop=  13505] Who was the screenwriter for Paprika?
2026-05-16T21:01:26 [INFO    ] PopQA_v13:   [  29/10184 |  0.3%] [hig|pop= 150710] Who was the screenwriter for Back to the Future?
2026-05-16T21:01:33 [INFO    ] PopQA_v13:   [  30/10184 |  0.3%] [hig|pop=   8423] What is Lilongwe the capital of?
2026-05-16T21:01:42 [INFO    ] PopQA_v13:   [  31/10184 |  0.3%] [med|pop=    407] Who was the screenwriter for Sumurun?
2026-05-16T21:01:46 [INFO    ] PopQA_v13:   [  32/10184 |  0.3%] [low|pop=     37] In what country is Zec Petawaga?
2026-05-16T21:01:52 [INFO    ] PopQA_v13:   [  33/10184 |  0.3%] [hig|pop=   1205] What genre is I Do?
2026-05-16T21:01:59 [INFO    ] PopQA_v13:   [  34/10184 |  0.3%] [med|pop=    399] What is Howard the capital of?
2026-05-16T21:02:08 [INFO    ] PopQA_v13:   [  35/10184 |  0.3%] [low|pop=     84] Who is the author of Watchers at the Strait Gate?
2026-05-16T21:02:14 [INFO    ] PopQA_v13:   [  36/10184 |  0.4%] [hig|pop=  36683] Who was the director of Legend?
2026-05-16T21:02:21 [INFO    ] PopQA_v13:   [  37/10184 |  0.4%] [med|pop=    349] In what country is Thomaston?
2026-05-16T21:02:29 [INFO    ] PopQA_v13:   [  38/10184 |  0.4%] [low|pop=     78] What genre is Koko ni Iruzee!?
2026-05-16T21:02:38 [INFO    ] PopQA_v13:   [  39/10184 |  0.4%] [low|pop=     74] What sport does 2002 Euro Beach Soccer Cup play?
2026-05-16T21:02:43 [INFO    ] PopQA_v13:   [  40/10184 |  0.4%] [med|pop=    240] Who was the director of The Suspect?
2026-05-16T21:02:49 [INFO    ] PopQA_v13:   [  41/10184 |  0.4%] [med|pop=    104] What sport does David Vázquez González play?
2026-05-16T21:02:53 [INFO    ] PopQA_v13:   [  42/10184 |  0.4%] [low|pop=     68] In what country is Joys?
2026-05-16T21:03:00 [INFO    ] PopQA_v13:   [  43/10184 |  0.4%] [low|pop=     64] In what country is Khishig-Öndör?
2026-05-16T21:03:06 [INFO    ] PopQA_v13:   [  44/10184 |  0.4%] [hig|pop=  10620] In what city was Camillo Benso di Cavour born?
2026-05-16T21:03:17 [INFO    ] PopQA_v13:   [  45/10184 |  0.4%] [med|pop=    381] What is Richard Martin's occupation?
2026-05-16T21:03:21 [INFO    ] PopQA_v13:   [  46/10184 |  0.5%] [med|pop=    419] Who was the screenwriter for Neuf mois ferme?
2026-05-16T21:03:27 [INFO    ] PopQA_v13:   [  47/10184 |  0.5%] [low|pop=     94] Who was the director of The Key?
2026-05-16T21:03:36 [INFO    ] PopQA_v13:   [  48/10184 |  0.5%] [low|pop=     89] Who is the author of Millennial Rites?
2026-05-16T21:03:42 [INFO    ] PopQA_v13:   [  49/10184 |  0.5%] [med|pop=    136] Who was the director of The Missing Star?
2026-05-16T21:03:49 [INFO    ] PopQA_v13:   [  50/10184 |  0.5%] [hig|pop=   3559] Who was the producer of Day After Day?
2026-05-16T21:03:58 [INFO    ] PopQA_v13:   [  51/10184 |  0.5%] [med|pop=    200] Who was the director of Another Life?
2026-05-16T21:04:05 [INFO    ] PopQA_v13:   [  52/10184 |  0.5%] [hig|pop=   1150] Who is the author of Shelter?
2026-05-16T21:04:11 [INFO    ] PopQA_v13:   [  53/10184 |  0.5%] [med|pop=    636] Who was the producer of M?
2026-05-16T21:04:18 [INFO    ] PopQA_v13:   [  54/10184 |  0.5%] [low|pop=     78] In what city was Roger McCardell born?
2026-05-16T21:04:24 [INFO    ] PopQA_v13:   [  55/10184 |  0.5%] [med|pop=    707] Who was the producer of Lux?
2026-05-16T21:04:32 [INFO    ] PopQA_v13:   [  56/10184 |  0.5%] [med|pop=    243] Who was the director of Evidence?
2026-05-16T21:04:37 [INFO    ] PopQA_v13:   [  57/10184 |  0.6%] [med|pop=    108] In what country is Seminary?
2026-05-16T21:04:43 [INFO    ] PopQA_v13:   [  58/10184 |  0.6%] [hig|pop= 304403] Who was the producer of Halloween III: Season of the Wi
2026-05-16T21:04:51 [INFO    ] PopQA_v13:   [  59/10184 |  0.6%] [hig|pop=   3585] In what city was Ko Wen-je born?
2026-05-16T21:04:57 [INFO    ] PopQA_v13:   [  60/10184 |  0.6%] [low|pop=     85] Who is the author of Let's Not?
2026-05-16T21:05:02 [INFO    ] PopQA_v13:   [  61/10184 |  0.6%] [low|pop=     59] Who was the director of Fingers?
